id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,0％的存款和取款手续费
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,当您把钱存入您的账户时，Company Name的佣金永远是0%。我们承担所有的资金费用。
3,indexHeaderText.slide2.title,Заголовок №2,与世界上领先的经纪公司之一进行交易。
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,我们的平台已被来自世界各地的20多万名交易者选择。
5,indexHeaderText.slide3.title,Заголовок №3,Company Name是您在金融市场的授权合作伙伴。
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,本公司认真办理证照，合法经营。
7,indexHeaderText.slide4.title,Заголовок №4,超越传统贸易
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,我们的平台提供最先进的交易解决方案
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,为什么选择Company Name？
10,indexAdvantagesText.advantage1.title,Преимущество №1,优良的交易条件
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,可使用150多种交易工具，点差0.1点起，市场上的佣金最低。
12,indexAdvantagesText.advantage2.title,Преимущество №2,即时执行
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,我们的交易平台以0.1秒的速度执行订单。世界上最快的速度之一。
14,indexAdvantagesText.advantage3.title,Преимущество №3,所有类型的分析
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,在全球金融市场上进行交易，几乎可以使用任何交易策略。
16,indexAdvantagesText.advantage4.title,Преимущество №4,先进技术
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,我们的交易平台配备了创新的技术和先进的功能，以满足我们客户不断增长的需求。
18,indexAdvantagesText.advantage5.title,Преимущество №5,安全保证
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,我们公司受到世界主要监管机构的监管。
20,indexAdvantagesText.advantage6.title,Преимущество №6,24x7支持
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,我们的多语言专业团队随时准备为您提供最好的支持。
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,附加值
23,indexBenefitsText.benefit1.title,Преимущество №1,全球范围
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,如今，来自70多个国家的20多万名交易者在该平台上进行交易。这使我们成为全球最活跃的经纪商之一。
25,indexBenefitsText.benefit2.title,Преимущество №2,灵活的交易条件
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,我们让您选择最适合您的账户，给您最低的交易费用。
27,indexBenefitsText.benefit3.title,Преимущество №3,速度快，技术先进
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,我们的服务器位于金融界最热的地方，使我们能够以闪电般的速度执行交易。
29,indexBenefitsText.benefit4.title,Преимущество №4,独特的交易平台
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,我们的交易平台是由专业人士为专业人士开发的。我们为自己的产品感到自豪，并将其作为自己的交易平台。
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,开始交易的三个步骤
32,indexStepsText.step1.title,Шаг №1,1. 报名
33,indexStepsText.step1.text|dot,Описание Шага №1,简单的注册，就可以开通进入终端进行150多种交易工具的交易。
34,indexStepsText.step2.title,Шаг №2,2. 账户融资
35,indexStepsText.step2.text|dot,Описание Шага №2,我们提供多种存款和取款方式。即时存款和取款。
36,indexStepsText.step3.title,Шаг №3,3. 贸易
37,indexStepsText.step3.text|dot,Описание Шага №3,开始交易，从第一笔交易开始就可以看到你的真实利润。
1.5. Информация об аккаунтах.,,,
38,indexAccountsText.h2,Главный заголовок раздела,账户信息
39,indexAccountsText.account1.title,Аккаунт №1,基本账户
