id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,0% de comisión por depósito y retirada
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,Cuando depositas dinero en tu cuenta en Company Name la comisión es siempre del 0%. Nos encargamos de todos los costes de financiación.
3,indexHeaderText.slide2.title,Заголовок №2,Opere con uno de los principales corredores del mundo
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,Nuestra plataforma ha sido elegida por más de 200 000 operadores de todo el mundo
5,indexHeaderText.slide3.title,Заголовок №3,Company Name es su socio autorizado en los mercados financieros
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,Nuestra empresa se toma en serio la concesión de licencias y los aspectos legales del comercio.
7,indexHeaderText.slide4.title,Заголовок №4,Ir más allá del comercio tradicional
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,Nuestra plataforma ofrece las soluciones de negociación más avanzadas
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,¿Por qué Company Name?
10,indexAdvantagesText.advantage1.title,Преимущество №1,Excelentes condiciones comerciales
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,"Acceso a más de 150 instrumentos de negociación con diferenciales desde 0,1 pip y las comisiones más bajas del mercado"
12,indexAdvantagesText.advantage2.title,Преимущество №2,Ejecución instantánea
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,"Nuestra plataforma de negociación realiza la ejecución de órdenes a una velocidad de 0,1 segundos. Una de las tasas más rápidas del mundo."
14,indexAdvantagesText.advantage3.title,Преимущество №3,Todos los tipos de análisis
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,"Opere en los mercados financieros mundiales, utilizando prácticamente cualquier estrategia de negociación."
16,indexAdvantagesText.advantage4.title,Преимущество №4,Tecnologías avanzadas
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,Nuestra plataforma de negociación está equipada con tecnologías innovadoras y funcionalidades avanzadas para satisfacer las crecientes necesidades de nuestros clientes.
18,indexAdvantagesText.advantage5.title,Преимущество №5,Garantía de seguridad
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,Nuestra empresa está regulada por los principales reguladores del mundo.
20,indexAdvantagesText.advantage6.title,Преимущество №6,"Asistencia 24 horas al día, 7 días a la semana"
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,Nuestro equipo multilingüe de profesionales está siempre dispuesto a ayudarle y a proporcionarle el mejor apoyo.
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Valor añadido
23,indexBenefitsText.benefit1.title,Преимущество №1,Alcance mundial
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,"En la actualidad, más de 200.000 operadores de más de 70 países operan en la plataforma. Esto nos convierte en uno de los corredores más activos del mundo."
25,indexBenefitsText.benefit2.title,Преимущество №2,Condiciones comerciales flexibles
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,Le permitimos elegir la cuenta que más le convenga y le ofrecemos las comisiones más bajas.
27,indexBenefitsText.benefit3.title,Преимущество №3,Rápido como un rayo y tecnológicamente avanzado
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,"Nuestros servidores están ubicados en los lugares más calientes del mundo financiero, lo que nos permite ejecutar las operaciones a la velocidad del rayo"
29,indexBenefitsText.benefit4.title,Преимущество №4,Plataforma de negociación única
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,Nuestra plataforma de negociación está desarrollada por profesionales para profesionales. Estamos orgullosos de nuestro producto y lo utilizamos como plataforma de negociación.
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,Tres pasos para empezar a operar
