id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,0% commission on deposits and withdrawals
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,"While adding funds to your Company Name account, the commission is always 0%. We assume all the costs of the deposit."
3,indexHeaderText.slide2.title,Заголовок №2,Trade with one of the world's leading brokers
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,"More than 200,000 traders from all over the world have chosen our platform"
5,indexHeaderText.slide3.title,Заголовок №3,Company Name is your licensed partner in the financial markets
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,Our company takes licensing and legal issues of trading.
7,indexHeaderText.slide4.title,Заголовок №4,Go beyond normal trading
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,Our platform provides the most advanced trading solutions
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Why Company Name?
10,indexAdvantagesText.advantage1.title,Преимущество №1,Excellent trading conditions
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,Access to 150+ trading instruments with spreads starting from 0.1 pips and the lowest commissions on the market
12,indexAdvantagesText.advantage2.title,Преимущество №2,Instant execution
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,Our trading platform executes orders at a speed of 0.1 seconds. One of the fastest indicators in the world.
14,indexAdvantagesText.advantage3.title,Преимущество №3,All types of analysis
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,Trade on the global financial markets using almost any trading strategy.
16,indexAdvantagesText.advantage4.title,Преимущество №4,Advanced technology
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,"Our trading platform is equipped with innovative technologies and advanced functionality, which allows us to meet the growing needs of our customers."
18,indexAdvantagesText.advantage5.title,Преимущество №5,Security guarantee
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,Our company is regulated by the largest regulators in the world.
20,indexAdvantagesText.advantage6.title,Преимущество №6,24/7 support
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,Our multilingual team of professionals is always ready to help you and provide you with the highest level of support.
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Additional benefits
23,indexBenefitsText.benefit1.title,Преимущество №1,Global presence
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,"Today more than 200,000 traders from 70+ countries of the world trade on the platform. This makes us one of the most global brokers in the world."
25,indexBenefitsText.benefit2.title,Преимущество №2,Flexible trading conditions
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,"We give you the opportunity to choose an account that is convenient for you, as well as provide minimal commissions for trading operations."
27,indexBenefitsText.benefit3.title,Преимущество №3,Lightning speed and adaptability
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,"Our servers are located in the largest centers of the financial world, which makes it possible to perform transactions at lightning speed"
29,indexBenefitsText.benefit4.title,Преимущество №4,Unique trading platform
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,Our trading platform is designed by professionals for professionals. We are proud of our product and use it as a trading platform ourselves.
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,Three simple steps to create an account
32,indexStepsText.step1.title,Шаг №1,1. Registration
33,indexStepsText.step1.text|dot,Описание Шага №1,A simple registration will open access to the terminal for trading more than 150 trading instruments.
34,indexStepsText.step2.title,Шаг №2,2. Adding funds to your account
35,indexStepsText.step2.text|dot,Описание Шага №2,We provide a large number of opportunities for depositing and withdrawing funds. Instant deposit and withdrawal of funds.
36,indexStepsText.step3.title,Шаг №3,3. Trade
37,indexStepsText.step3.text|dot,Описание Шага №3,Start trading and get real profit from the first operation.
1.5. Информация об аккаунтах.,,,
38,indexAccountsText.h2,Главный заголовок раздела,Account Information
