id,constant,position,translate
1. Главная страница,,,Schieberegler # 1
1.1. Посадочная страница.,,,Schieberegler # 2
1,indexHeaderText.slide1.title,Заголовок №1,0% Provision für Ein- und Auszahlungen
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,"Wenn Sie Geld auf Ihr Konto bei Company Name einzahlen, beträgt die Provision immer 0%. Wir kümmern uns um alle Finanzierungskosten."
3,indexHeaderText.slide2.title,Заголовок №2,Handeln Sie mit einem der führenden Broker der Welt
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,Unsere Plattform wurde von über 200 000 Tradern aus der ganzen Welt gewählt
5,indexHeaderText.slide3.title,Заголовок №3,Company Name ist Ihr lizenzierter Partner an den Finanzmärkten
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,Unser Unternehmen nimmt die Lizenzierung und die rechtlichen Aspekte des Handels ernst.
7,indexHeaderText.slide4.title,Заголовок №4,Gehen Sie über den traditionellen Handel hinaus
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,Unsere Plattform bietet die fortschrittlichsten Handelslösungen
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Warum Company Name?
10,indexAdvantagesText.advantage1.title,Преимущество №1,Ausgezeichnete Handelsbedingungen
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,"Zugang zu über 150 Handelsinstrumenten mit Spreads ab 0,1 Pip und den niedrigsten Kommissionen auf dem Markt"
12,indexAdvantagesText.advantage2.title,Преимущество №2,Sofortige Ausführung
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,"Unsere Handelsplattform führt die Orderausführung mit der Geschwindigkeit von 0,1 Sekunde durch. Eine der schnellsten Raten der Welt."
14,indexAdvantagesText.advantage3.title,Преимущество №3,Alle Arten von Analysen
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,"Handeln Sie auf den globalen Finanzmärkten, mit praktisch jeder Handelsstrategie."
16,indexAdvantagesText.advantage4.title,Преимущество №4,Fortschrittliche Technologien
