id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,0% di commissione per il deposito e il ritiro
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,Quando depositi denaro sul tuo conto presso Company Name la commissione è sempre dello 0%. Ci occupiamo di tutti i costi di finanziamento.
3,indexHeaderText.slide2.title,Заголовок №2,Fai trading con uno dei principali broker del mondo
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,La nostra piattaforma è stata scelta da oltre 200 000 trader di tutto il mondo
5,indexHeaderText.slide3.title,Заголовок №3,Company Name è il vostro partner autorizzato nei mercati finanziari
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,La nostra azienda è seriamente interessata alle licenze e agli aspetti legali del commercio.
7,indexHeaderText.slide4.title,Заголовок №4,Andare oltre il trading tradizionale
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,La nostra piattaforma fornisce le soluzioni di trading più avanzate
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Perché Company Name?
10,indexAdvantagesText.advantage1.title,Преимущество №1,Ottime condizioni commerciali
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,"Accesso a più di 150 strumenti di trading con spread a partire da 0,1 pip e le commissioni più basse sul mercato"
12,indexAdvantagesText.advantage2.title,Преимущество №2,Esecuzione istantanea
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,"La nostra piattaforma di trading esegue l'esecuzione degli ordini alla velocità di 0,1 secondi. Uno dei tassi più veloci del mondo."
14,indexAdvantagesText.advantage3.title,Преимущество №3,Tutti i tipi di analisi
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,"Fai trading sui mercati finanziari globali, usando praticamente qualsiasi strategia di trading."
16,indexAdvantagesText.advantage4.title,Преимущество №4,Tecnologie avanzate
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,La nostra piattaforma di trading è dotata di tecnologie innovative e funzionalità avanzate al fine di soddisfare le crescenti esigenze dei nostri clienti.
18,indexAdvantagesText.advantage5.title,Преимущество №5,Garanzia di sicurezza
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,La nostra azienda è regolata dai principali regolatori del mondo.
20,indexAdvantagesText.advantage6.title,Преимущество №6,Supporto 24x7
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,Il nostro team multilingue di professionisti è sempre pronto ad assistervi e a fornire il miglior supporto.
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Valore aggiunto
23,indexBenefitsText.benefit1.title,Преимущество №1,Portata globale
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,"Oggi, oltre 200.000 trader da più di 70 paesi fanno trading sulla piattaforma. Questo ci rende uno dei broker più attivi a livello globale."
25,indexBenefitsText.benefit2.title,Преимущество №2,Condizioni commerciali flessibili
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,Ti lasciamo scegliere il conto che è meglio per te e ti diamo le commissioni di trading più basse.
27,indexBenefitsText.benefit3.title,Преимущество №3,Veloce come un fulmine e tecnologicamente avanzato
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,"I nostri server sono situati nelle località più calde del mondo finanziario, permettendoci di eseguire operazioni alla velocità della luce"
29,indexBenefitsText.benefit4.title,Преимущество №4,Piattaforma di trading unica
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,La nostra piattaforma di trading è sviluppata da professionisti per professionisti. Siamo orgogliosi del nostro prodotto e lo usiamo noi stessi come piattaforma di trading.
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,Tre passi per iniziare a fare trading
32,indexStepsText.step1.title,Шаг №1,1. Iscriviti
