id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,0% de commission pour le dépôt et le retrait
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,"Lorsque vous déposez de l'argent sur votre compte chez Company Name, la commission est toujours de 0%. Nous prenons en charge tous les coûts de financement."
3,indexHeaderText.slide2.title,Заголовок №2,Commerce avec l'un des plus grands courtiers du monde
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,Notre plateforme a été choisie par plus de 200 000 traders du monde entier
5,indexHeaderText.slide3.title,Заголовок №3,Company Name est votre partenaire agréé sur les marchés financiers
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,Notre entreprise prend au sérieux les questions de licence et les aspects juridiques du commerce.
7,indexHeaderText.slide4.title,Заголовок №4,Aller au-delà du commerce traditionnel
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,Notre plate-forme offre les solutions de négociation les plus avancées
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Pourquoi Company Name ?
10,indexAdvantagesText.advantage1.title,Преимущество №1,D'excellentes conditions commerciales
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,"Accès à plus de 150 instruments de négociation avec des spreads à partir de 0,1 pip et les commissions les plus basses du marché"
12,indexAdvantagesText.advantage2.title,Преимущество №2,Exécution instantanée
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,"Notre plateforme de négociation exécute les ordres à la vitesse de 0,1 seconde. Un des taux les plus rapides au monde."
14,indexAdvantagesText.advantage3.title,Преимущество №3,Tous les types d'analyse
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,"Échanger sur les marchés financiers mondiaux, en utilisant pratiquement n'importe quelle stratégie commerciale."
16,indexAdvantagesText.advantage4.title,Преимущество №4,Technologies avancées
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,Notre plate-forme de négociation est équipée de technologies innovantes et de fonctionnalités avancées afin de satisfaire les besoins croissants de nos clients.
18,indexAdvantagesText.advantage5.title,Преимущество №5,Garantie de sécurité
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,Notre entreprise est réglementée par les principaux régulateurs du monde.
20,indexAdvantagesText.advantage6.title,Преимущество №6,"Assistance 24 heures sur 24, 7 jours sur 7"
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,Notre équipe de professionnels multilingues est toujours prête à vous aider et à vous apporter le meilleur soutien.
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Valeur ajoutée
23,indexBenefitsText.benefit1.title,Преимущество №1,Portée mondiale
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,"Aujourd'hui, plus de 200 000 commerçants de plus de 70 pays font des affaires sur la plateforme. Cela fait de nous l'un des courtiers les plus actifs au monde."
25,indexBenefitsText.benefit2.title,Преимущество №2,Des conditions commerciales flexibles
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,Nous vous laissons choisir le compte qui vous convient le mieux et vous offrons les frais de transaction les plus bas.
27,indexBenefitsText.benefit3.title,Преимущество №3,Rapide comme l'éclair et technologiquement avancé
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,"Nos serveurs sont situés dans les endroits les plus chauds du monde financier, ce qui nous permet d'exécuter des transactions à la vitesse de l'éclair"
29,indexBenefitsText.benefit4.title,Преимущество №4,Une plateforme commerciale unique
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,Notre plate-forme de négociation est développée par des professionnels pour des professionnels. Nous sommes fiers de notre produit et l'utilisons nous-mêmes comme plateforme commerciale.
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,Trois étapes pour commencer à commercer
