id,constant,position,translate,
1. Главная страница,,,,
1.1. Посадочная страница.,,,,
1,indexHeaderText.slide1.title,Заголовок №1,0% комиссия на пополнение и снятие,
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,При пополнении счета Company Name комиссия всегда равна 0%. Мы берем на себя все издержки пополнения. ,
3,indexHeaderText.slide2.title,Заголовок №2,Торгуйте вместе с одним из ведущих брокеров в мире,
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,На сегодняшний день нашу платформу выбрали более 200 000 трейдеров со всего мира,
5,indexHeaderText.slide3.title,Заголовок №3,Company Name - это ваш лицензированный партнер на финансовых рынках,
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,Наша компания серьезно относится к лицензированию и правовым вопросам торговли. ,
7,indexHeaderText.slide4.title,Заголовок №4,Выходите за рамки обычного трейдинга,
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,Наша платформа предоставляет самые передовые решения в области трейдинга,
1.2. Почему мы? (Преимущества),,,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Почему Company Name?,
10,indexAdvantagesText.advantage1.title,Преимущество №1,Отличные торговые условия,
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,Доступ к 150+ торговым инструментам со спредами от 0.1 пункта и самыми низкими комиссиями на рынке,
12,indexAdvantagesText.advantage2.title,Преимущество №2,Моментальное исполнение,
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,Наша торговая платформа совершает исполнение ордеров со скоростью - 0.1 сек. Один из самых быстрых показателей в мире.,
14,indexAdvantagesText.advantage3.title,Преимущество №3,Все виды анализа,
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,"Торгуйте на мировых финансовых рынках, используя практически любую торговую стратегию.",
16,indexAdvantagesText.advantage4.title,Преимущество №4,Передовые технологии,
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,"Наша торговая платформа оснащена инновационными технологиями и расширенной функциональностью, что позволяет удовлетворять растущие потребности наших клиентов.",
18,indexAdvantagesText.advantage5.title,Преимущество №5,Гарантия безопасности,
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,Наша компания регулируется самыми крупными регуляторами мира. ,
20,indexAdvantagesText.advantage6.title,Преимущество №6,Круглосуточная поддержка,
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,Наша многоязычная команда профессионалов всегда готова помочь вам и предоставить поддержку на высочайшем уровне.,
1.3. Дополнительные преимущества.,,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Дополнительные преимущества,
23,indexBenefitsText.benefit1.title,Преимущество №1,Глобальное присутствие,
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,На сегодняшний день на платформе торгуют более 200 000 трейдеров их 70+ стран мира. Это делает нас одним из самых глобальных брокеров в мире. ,
25,indexBenefitsText.benefit2.title,Преимущество №2,Гибкие торговые условия,
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,"Мы даем возможность выбрать удобный для вас счет, а также предоставляем минимальные комиссии за торговые операции.",
27,indexBenefitsText.benefit3.title,Преимущество №3,Молниеносность и технологичность,
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,"Наши сервера расположены в самых крупных центрах финансового мира, что дает возможность молниеностно совершать операции",
29,indexBenefitsText.benefit4.title,Преимущество №4,Уникальная торговая платформа,
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,Наша торговая платформа разработана профессионалами для профессионалов. Мы гордимся своим продуктом и сами пользуемся им в качестве торговой платформы. ,
1.4. Как начать.,,,,
31,indexStepsText.h2,Главный заголовок раздела,Три простых действия для создания счета,
32,indexStepsText.step1.title,Шаг №1,1. Регистрация,
